apply_s1_correction,s1_theta_offset_deg,s1_scale,s1_condition,solver,Br_rms,Bt_rms,Br_L2_all,Bt_L2_all,Br_L2_edge,Bt_L2_edge,Br_L2_middle,Bt_L2_middle,objective
False,20.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055092,0.22344515356608194,0.1828073879324504,0.2820133194925467,0.06411058509300815,0.1582127434187019,0.31633652259663286
False,50.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055087,0.223445153566082,0.18280738793245033,0.2820133194925467,0.0641105850930081,0.1582127434187019,0.31633652259663286
False,60.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312366,0.04900733491500949,0.09289136903055085,0.223445153566082,0.18280738793245033,0.2820133194925467,0.06411058509300807,0.15821274341870184,0.31633652259663286
True,-60.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312366,0.04900733491500949,0.09289136903055091,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300809,0.15821274341870184,0.31633652259663286
True,-50.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312366,0.04900733491500949,0.09289136903055088,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300806,0.15821274341870187,0.31633652259663286
True,-40.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312377,0.04900733491500949,0.09289136903055088,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300802,0.15821274341870187,0.31633652259663286
True,-30.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312377,0.04900733491500949,0.09289136903055087,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300799,0.15821274341870184,0.31633652259663286
True,-20.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312377,0.04900733491500949,0.09289136903055088,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300802,0.15821274341870187,0.31633652259663286
True,-10.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931237,0.04900733491500949,0.0928913690305509,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300806,0.1582127434187019,0.31633652259663286
True,60.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312366,0.04900733491500949,0.09289136903055091,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300809,0.15821274341870184,0.31633652259663286
True,70.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312366,0.04900733491500949,0.09289136903055088,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300806,0.15821274341870187,0.31633652259663286
True,80.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312377,0.04900733491500949,0.09289136903055088,0.22344515356608197,0.18280738793245047,0.2820133194925467,0.06411058509300802,0.15821274341870187,0.31633652259663286
True,90.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312377,0.04900733491500949,0.09289136903055087,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300799,0.15821274341870184,0.31633652259663286
False,-90.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.04900733491500948,0.09289136903055098,0.22344515356608194,0.18280738793245055,0.28201331949254665,0.06411058509300818,0.1582127434187019,0.3163365225966329
False,-80.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055092,0.22344515356608197,0.1828073879324504,0.2820133194925467,0.06411058509300815,0.15821274341870187,0.3163365225966329
False,30.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.04900733491500948,0.09289136903055098,0.22344515356608194,0.18280738793245055,0.28201331949254665,0.06411058509300818,0.1582127434187019,0.3163365225966329
False,40.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055092,0.22344515356608197,0.1828073879324504,0.2820133194925467,0.06411058509300815,0.15821274341870187,0.3163365225966329
True,-80.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055095,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300815,0.15821274341870187,0.3163365225966329
True,-70.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.04900733491500949,0.09289136903055092,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300811,0.1582127434187019,0.3163365225966329
True,0.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.48202498869312366,0.04900733491500949,0.09289136903055091,0.223445153566082,0.18280738793245047,0.2820133194925467,0.0641105850930081,0.1582127434187019,0.3163365225966329
True,10.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.04900733491500949,0.09289136903055092,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300811,0.1582127434187019,0.3163365225966329
True,20.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055095,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300815,0.1582127434187019,0.3163365225966329
True,40.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055095,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300815,0.15821274341870187,0.3163365225966329
True,50.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.04900733491500949,0.09289136903055092,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300811,0.1582127434187019,0.3163365225966329
True,-90.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055098,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300818,0.1582127434187019,0.316336522596633
True,30.0,-1.0547118733938987e-15,724840.9577377684,rowcol,0.4820249886931236,0.049007334915009484,0.09289136903055098,0.223445153566082,0.18280738793245047,0.2820133194925467,0.06411058509300818,0.1582127434187019,0.316336522596633
