angle_deg,x_mm,y_mm,Bx_T,By_T,Br_T,Bt_T
11.006333333333334,38.675279784368286,7.522149533267339,0.5755474269777636,0.06495696261834594,0.5773622780096532,-0.04611992654839393
11.20626666666667,38.64879586883575,7.657060655960905,0.5852065843888661,0.0748817049895219,0.588601613661686,-0.04027600463154417
11.4062,38.62184134381865,7.7918785419756125,0.5949057702173142,0.08480095958300704,0.5999267778976934,-0.03452447458465201
11.606133333333334,38.59441653753045,7.926601549693027,0.6003817428841827,0.0932867718232152,0.6068738613324978,-0.029407064070214123
11.806066666666668,38.566521783911014,8.061228038650004,0.6023277862190988,0.1003500380913169,0.6101175692643425,-0.025008875854373377
12.006000000000002,38.53815742262256,8.195756369558664,0.6043048361649164,0.1074144040926342,0.6134298780177726,-0.02063913694859361
12.205933333333334,38.50932379904552,8.330184904326359,0.6063128686479616,0.1144797838074716,0.6168105672389861,-0.01629845793460427
12.405866666666668,38.48002126427429,8.46451200607561,0.6083518592173071,0.1215460912037914,0.6202594118560617,-0.01198744777035532
12.605800000000002,38.45025017511305,8.598736039164045,0.6092633031071959,0.1268328500623234,0.6222570717200052,-0.009191358031701402
12.805733333333334,38.420010894071325,8.732855369204318,0.6092589390625197,0.1305297413774103,0.6230363560639827,-0.00775675409917348
13.005666666666668,38.38930378935961,8.866868363084,0.6092691691554782,0.1342286438771041,0.6238478918785265,-0.006329069379575392
13.205600000000002,38.35812923488489,9.000773388985476,0.6092939932615046,0.1379295125214868,0.6246916249092136,-0.004908606447029978
13.405533333333334,38.32648761024608,9.134568816405805,0.6093334110783283,0.1416323022466998,0.62556749852033,-0.003495667471104247
13.605466666666667,38.29437930072942,9.268253016176585,0.6090570965820921,0.1447299948279588,0.6260116163302304,-0.0026027907179255183
13.805400000000002,38.261804697303724,9.401824360483783,0.608617749836364,0.1472810935473451,0.6261808236726786,-0.0022049936477288035
14.005333333333335,38.22876419661572,9.535281222887548,0.6081877750260807,0.149834210246509,0.62637000939711,-0.0018087507384773605
