dataset,component,harmonic,cos_coeff_T,sin_coeff_T,magnitude_T
slotted FEMM,Br_T,19,-0.004252187988775691,-0.00013686352572591623,0.004254390005225471
slotted FEMM,Br_T,20,-0.002419103631704148,-7.809202778024583e-07,0.002419103757750105
slotted FEMM,Br_T,21,-2.8436220375879468e-05,0.00016437636435363354,0.00016681788809172734
slotted FEMM,Br_T,22,0.0010675519862415074,-0.00021055594873324888,0.0010881181235854616
slotted FEMM,Br_T,23,0.0010962567593917872,0.000177252467286776,0.0011104941781348665
slotted FEMM,Br_T,24,-0.002664830646756292,0.00011758812657926619,0.0026674237277575495
slotted FEMM,Br_T,25,0.0002288207555003711,0.00039705324454663746,0.00045826871718760435
slotted FEMM,Br_T,26,0.00036086482668771223,0.00025403668968804806,0.00044131401841320905
slotted FEMM,Br_T,27,0.00022666661804948603,-0.00020644728062646327,0.00030659131660249817
slotted FEMM,Br_T,28,0.0005101590662366152,-0.00031409358962315037,0.0005990968668802826
slotted FEMM,Br_T,29,0.0005597192450822698,-0.00011186032384929095,0.0005707874958048172
slotted FEMM,Br_T,30,-0.002569548122361164,7.249366431080522e-05,0.0025705705367670795
slotted FEMM,Br_T,31,0.00039750084700879715,9.474012276290788e-05,0.0004086350624136921
slotted FEMM,Br_T,32,-4.743767625196921e-05,0.0001894202282381113,0.0001952699567111255
slotted FEMM,Br_T,33,0.00018405705247466898,0.00020213590752632773,0.00027337871840572224
slotted FEMM,Br_T,34,-1.5215019720403764e-05,8.013684038685857e-05,8.15684375986271e-05
slotted FEMM,Br_T,35,-0.0005907439642471331,-0.0004721482998690116,0.0007562423211931584
slotted FEMM,Br_T,36,0.0018686025830066462,-0.00018901849096381463,0.0018781383344006768
slotted FEMM,Br_T,37,-0.0009274276853115745,0.000109655431724052,0.000933887801177943
slotted FEMM,Br_T,38,-0.00020355124112767474,2.585103822388191e-05,0.00020518621771909871
slotted FEMM,Br_T,39,2.745457288855375e-05,-2.371884535627689e-05,3.628136157213354e-05
slotted FEMM,Br_T,40,0.00022369804252191005,9.76846535937599e-06,0.0002239112260330232
slotted FEMM,Br_T,41,0.000382996196585427,0.0001856940597778641,0.0004256387792902428
slotted FEMM,Br_T,42,-0.0006716321254606605,-4.001035722544801e-05,0.0006728228151869647
slotted FEMM,Br_T,43,0.00013084287097637129,-0.00029005514518454543,0.0003182009492967723
slotted FEMM,Br_T,44,-1.9337255870041957e-07,0.0001308840420960247,0.00013088418494356155
slotted FEMM,Br_T,45,8.792019951755234e-05,0.00031204044301147963,0.0003241900670255131
slotted FEMM,Br_T,46,0.00022168110447232862,-0.0001481116662760567,0.00026660753509070496
slotted FEMM,Br_T,47,0.00020915465793847478,-0.00031553220516119623,0.0003785581110361362
slotted FEMM,Br_T,48,-6.126176659175525e-05,-6.959317631979513e-05,9.271577123780395e-05
slotted FEMM,Br_T,49,-7.941949620285945e-05,0.0001674414112823205,0.00018532156536499257
slotted FEMM,Br_T,50,-6.44076373378464e-05,5.785362903961131e-06,6.466694805984024e-05
slotted FEMM,Br_T,51,-0.00013639816646038842,-0.0002389377602002295,0.0002751285391653476
slotted FEMM,Br_T,52,-3.480979783582649e-05,0.00010807307417147707,0.00011354079172810402
slotted FEMM,Br_T,53,-0.00020155158584520908,0.0001494356410459232,0.00025090646179707027
slotted FEMM,Br_T,54,0.0004993227879639019,-0.00011405328906735523,0.0005121829744604221
slotted FEMM,Br_T,55,0.0002293194215137422,1.5012763962198371e-05,0.0002298103134438967
slotted FEMM,Br_T,56,-7.175354702670543e-05,-0.00011680155325107135,0.0001370809044060349
slotted FEMM,Br_T,57,-0.00016297687116087353,0.0002839433629654016,0.0003273916521621921
slotted FEMM,Br_T,58,-0.0001200405477251707,-7.014607013402561e-05,0.00013903310488299765
slotted FEMM,Br_T,59,0.0002900872879639904,4.50971082123101e-05,0.00029357176943196683
slotted FEMM,Br_T,60,-0.0003238236482611665,0.0002093004886130309,0.0003855754786119381
slotted FEMM,Bt_T,0,-0.0001980601401806148,0.0,0.0001980601401806148
slotted FEMM,Bt_T,1,0.00025434174145471164,-0.028583155957654125,0.028584287540903038
slotted FEMM,Bt_T,2,1.0078121249039134e-06,-0.034247976761836656,0.03424797677666505
