fit_kind,apply_s1_correction,theta_offset_deg,structure2_scale,structure1_scale,structure1_condition,solver_scaling,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,Br_rms,Bt_rms
edge_BrBt_kS1,False,-80.0,1.0,-0.36559065484656633,854207.4949590549,rowcol,0.30834751333962723,0.6179731081160215,0.04465931186362858,1.1879030811989495,0.41598910311098214,0.6354459962720993,0.3661929069054522,0.6268121217132206,0.14137688463608977,0.6324774085178582,0.5162989713375588,0.026478060634872107
all_BrBt_kS1,False,-80.0,1.0,-0.12521047556502501,854207.4949590549,rowcol,0.35016844040775424,0.6211639905636716,0.02431375767107226,1.2865552806776746,0.38772146939402535,0.6228025067262637,0.3694391205091175,0.6219876970984936,0.13820463628976012,0.6290910305530008,0.5290805143012394,0.026978090801625706
edge_BrBt_cS2_kS1,False,-80.0,0.804828818093278,0.10478377871742323,854207.4949590549,rowcol,0.3078943480674907,0.6291719301606155,0.1860327774657698,1.0654893819228033,0.28909704775791273,0.6160382846313678,0.2986352698173306,0.62260840639982,0.20504029194200046,0.6268010272508913,0.43688332639909616,0.022157083785622565
all_BrBt_cS2_kS1,False,-80.0,0.9353758746347791,0.3121359339774374,854207.4949590549,rowcol,0.389028007304328,0.6236592043802527,0.039642179550811424,1.399292906838368,0.29863043861889604,0.5975650603298465,0.3467474761686842,0.6106892658196106,0.13316839088133045,0.619715543876935,0.5181009625766683,0.02617612860401636
edge_Br_only_kS1,False,-78.0,1.0,-0.19203969165320192,854207.4949590549,rowcol,0.33823753571753656,0.6220714254591692,0.028154017840824396,1.249609178577544,0.40168955465909423,0.6271181614870167,0.3713494979508022,0.6246119301727567,0.139525345438866,0.6311477210868011,0.5263682780511623,0.02692535904217279
edge_BrBt_kS1,False,-78.0,1.0,-0.18191961609290705,854207.4949590549,rowcol,0.3400379566854721,0.6221113144386512,0.027416780379530707,1.2541714843657643,0.40018029120442494,0.6265572738641711,0.37135541240189873,0.624348857989262,0.13940061544484306,0.630952626836003,0.5268620457691746,0.026941902858485883
all_BrBt_kS1,False,-78.0,1.0,-0.07412151807632165,854207.4949590549,rowcol,0.359672529773757,0.6225365938191076,0.02141385271730022,1.3064773660623779,0.3842045022342851,0.6206849957759518,0.37215162486575154,0.6216070669521293,0.13878026331653212,0.6290051204715273,0.5321440378429078,0.027120630343172636
edge_BrBt_cS2_kS1,False,-78.0,0.806810567099547,0.10758788944387547,854207.4949590549,rowcol,0.3082913572774286,0.6281413118916849,0.1844061404676059,1.0775161732762089,0.2883838987121484,0.6155981437967604,0.298494778958692,0.6218714288971271,0.20373904361863063,0.6262183197892469,0.43763171282343455,0.02216893130286815
all_BrBt_cS2_kS1,False,-78.0,0.9380783577080583,0.3105745410593728,854207.4949590549,rowcol,0.39036751086768406,0.620949359134115,0.039943016235913946,1.429596170808525,0.2926496998418012,0.5962856086821352,0.3449429376597049,0.6086835762781213,0.13260653712216758,0.6182389856948115,0.5181455275085352,0.02610867731281602
edge_Br_only_kS1,False,-76.0,1.0,-0.07627510860607957,854207.4949590549,rowcol,0.35940610591365535,0.6230056454989733,0.021223873859442355,1.3061559635795892,0.3862919191377392,0.6206700672657711,0.37310322478366537,0.6218333810384274,0.139102690446286,0.6292225317747141,0.5324098932623541,0.027150405952222907
