objective,Br_L2,Bt_L2,alpha_deg,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.32094305456233807,0.08262790115466824,0.23831515340766984,52.75,0.26,0.14,1.0,11.5,0.07999999999999999
0.3210010502499252,0.10151310843484583,0.2164617249453877,52.0,0.28,0.14,1.0,11.5,0.07999999999999999
0.3210561383706647,0.09302904294377073,0.22802709542689398,52.25,0.34,0.14,1.0,11.5,0.09999999999999999
0.3213940202899892,0.07324839916333845,0.24814562112665073,53.0,0.30000000000000004,0.14,1.0,11.5,0.07999999999999999
0.32150124829754156,0.07291908217438932,0.24858216612315223,53.0,0.32,0.14,1.0,11.5,0.07999999999999999
0.3215327747337141,0.07977468151722267,0.24175809321649147,53.0,0.30000000000000004,0.14,1.0,12.0,0.07999999999999999
0.32194867679661765,0.10151310843484583,0.21740935149208013,52.0,0.28,0.14,1.0,11.5,0.09999999999999999
0.3219805070442857,0.08093543966552366,0.24104506737876202,53.0,0.28,0.14,1.0,12.0,0.07999999999999999
0.3219806465112073,0.07933612625803094,0.24264452025317632,53.0,0.32,0.14,1.0,12.0,0.07999999999999999
0.3222415043460285,0.07437014422088067,0.24787136012514782,53.0,0.28,0.14,1.0,11.5,0.07999999999999999
0.32231565517651006,0.09610174142509469,0.22621391375141536,52.25,0.26,0.14,1.0,11.5,0.09999999999999999
0.32260692537234237,0.07342115172695293,0.2491857736453894,53.0,0.34,0.14,1.0,11.5,0.07999999999999999
0.3228976079500503,0.10260353813461366,0.21508699354620928,52.25,0.26,0.14,1.0,12.0,0.07999999999999999
0.32322635583648324,0.08646285339106134,0.23676350244542188,52.5,0.30000000000000004,0.14,1.0,11.5,0.09999999999999999
0.3232650371139286,0.08276391016192497,0.24050112695200362,53.0,0.26,0.14,1.0,12.0,0.07999999999999999
0.323286728597034,0.08601463600816715,0.23727209258886683,52.5,0.32,0.14,1.0,11.5,0.09999999999999999
0.3233660961514208,0.07965765722875852,0.24370843892266228,53.0,0.34,0.14,1.0,12.0,0.07999999999999999
0.32397748813213645,0.07622303829002283,0.2477544498421136,53.0,0.26,0.14,1.0,11.5,0.07999999999999999
0.32399693130825863,0.09488345090200302,0.22911348040625562,52.0,0.32,0.14,1.0,11.0,0.09999999999999999
0.32400690233741225,0.08756321952724386,0.23644368281016842,52.5,0.28,0.14,1.0,11.5,0.09999999999999999
0.32422697620510393,0.08625218402080338,0.23797479218430057,52.5,0.34,0.14,1.0,11.5,0.09999999999999999
0.32435108014582503,0.0950219362437573,0.22932914390206777,52.0,0.34,0.14,1.0,11.0,0.09999999999999999
0.324427034729536,0.09535199438028419,0.2290750403492518,52.0,0.30000000000000004,0.14,1.0,11.0,0.09999999999999999
0.3254744093227735,0.08788423942220466,0.23759016990056883,52.25,0.32,0.14,1.0,11.0,0.09999999999999999
0.3255098469725466,0.06706528177248179,0.2584445652000648,53.25,0.30000000000000004,0.14,1.0,11.5,0.07999999999999999
0.3255586221985214,0.0734882157458032,0.25207040645271817,53.25,0.30000000000000004,0.14,1.0,12.0,0.07999999999999999
0.3255635208753659,0.10308751923740696,0.21630096316314498,52.0,0.26,0.14,1.0,11.5,0.07999999999999999
0.32557677909081517,0.0892697511125566,0.2363070279782586,52.5,0.26,0.14,1.0,11.5,0.09999999999999999
0.3256061064179526,0.09639822612359583,0.22920788029435676,52.0,0.28,0.14,1.0,11.0,0.09999999999999999
0.32568269551094126,0.06682163286168719,0.25886106264925407,53.25,0.32,0.14,1.0,11.5,0.07999999999999999
