Br_relative_l2,Bt_relative_l2,Br_rms,Bt_rms,slotted_FEMM_Br_rms,slotted_FEMM_Bt_rms,lambda_drop,lambda_b_gain,width_scale,notch_kind,normalize_mean,slot_opening_deg,slot_centers_deg,model_csv
0.13535604519366934,0.47573901019535386,0.4637885190756529,0.031628595320873046,0.5106783515674461,0.04904435641138518,0.2,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13885376147803288,0.47303990021480025,0.4713411478927701,0.03188384525453088,0.5106783515674461,0.04904435641138518,0.12,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1359763504334877,0.47725012711308873,0.46014932849406753,0.03150628952544466,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14285581573553882,0.47185375549698216,0.475250227832155,0.03201670457976247,0.5106783515674461,0.04904435641138518,0.08,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.16772971406536039,0.4475578768430356,0.43730721266654154,0.034468722352664884,0.5106783515674461,0.04904435641138518,0.32,0.10000000000000003,1.2,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13816578962905363,0.47886761667534417,0.4566044864894493,0.03138758551654199,0.5106783515674461,0.04904435641138518,0.28,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14821305523537148,0.4707776740894198,0.4792449466543748,0.03215299617902186,0.5106783515674461,0.04904435641138518,0.04,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1418517240300534,0.4805904048503776,0.4531562072096601,0.031272524309093275,0.5106783515674461,0.04904435641138518,0.32,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1777572916301807,0.44552298592458184,0.4320903968232181,0.043265447283654265,0.5106783515674461,0.04904435641138518,0.36,0.14000000000000004,1.2,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.17766553454199507,0.4506173369213548,0.4320910154075947,0.0343155016882044,0.5106783515674461,0.04904435641138518,0.36,0.10000000000000003,1.2,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1469215655941843,0.4824173635258542,0.4498067114490329,0.031161146255793037,0.5106783515674461,0.04904435641138518,0.36,0.10000000000000003,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14785373514842914,0.4826926373793897,0.46911723666180966,0.03710221337252257,0.5106783515674461,0.04904435641138518,0.08,0.10000000000000003,1.4,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1502101547154805,0.480672845817223,0.47616775935639666,0.037310582062095345,0.5106783515674461,0.04904435641138518,0.04,0.10000000000000003,1.4,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1480339250703282,0.48489731011627035,0.4621723746451137,0.03689877714851199,0.5106783515674461,0.04904435641138518,0.12,0.10000000000000003,1.4,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.15074162830089693,0.48728435460129277,0.4553380079744762,0.036700355414606346,0.5106783515674461,0.04904435641138518,0.16,0.10000000000000003,1.4,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.15584515902194865,0.48985110474906834,0.44861918661198036,0.03650702993464159,0.5106783515674461,0.04904435641138518,0.2,0.10000000000000003,1.4,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.16311979718918138,0.4925947514052982,0.4420211795330575,0.0363188820908178,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.10000000000000003,1.4,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13649534767693844,0.5286173392703922,0.4675203940584373,0.05345455031453314,0.5106783515674461,0.04904435641138518,0.16,0.22000000000000006,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13552715853768574,0.5298537024622119,0.46378912727441973,0.05337931310868794,0.5106783515674461,0.04904435641138518,0.2,0.22000000000000006,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13901891171156122,0.5274789751305397,0.4713416188124527,0.053532072983493426,0.5106783515674461,0.04904435641138518,0.12,0.22000000000000006,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13614753066074667,0.5311873804144635,0.46015000682057766,0.053306371043142994,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.22000000000000006,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.17229074971162942,0.49551235615642597,0.43554947730925575,0.03613599275780522,0.5106783515674461,0.04904435641138518,0.28,0.10000000000000003,1.4,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14563973663540766,0.5236623014124795,0.47116222894342424,0.05366030313551588,0.5106783515674461,0.04904435641138518,0.08,0.18000000000000005,1.2,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14407070756268867,0.5253324655925533,0.4652368891778052,0.0535396431663175,0.5106783515674461,0.04904435641138518,0.12,0.18000000000000005,1.2,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14301553876888579,0.5264392457779725,0.4752506316361176,0.0536118712012431,0.5106783515674461,0.04904435641138518,0.08,0.22000000000000006,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13833509369862795,0.5326176420973177,0.45660523590688906,0.053235733552104134,0.5106783515674461,0.04904435641138518,0.28,0.22000000000000006,0.8,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14937628533407077,0.5221402912663468,0.4771910145647472,0.05378427635727941,0.5106783515674461,0.04904435641138518,0.04,0.18000000000000005,1.2,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.14473970530353533,0.527149375621859,0.45941899785277684,0.053422318899685184,0.5106783515674461,0.04904435641138518,0.16,0.18000000000000005,1.2,gaussian,False,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
