objective,Br_L2,Bt_L2,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.334860091154726,0.07474855188788736,0.2601115392668386,0.32,0.14,1.0999999999999999,11.5,0.08000000000000003
0.33494346342041087,0.0809237118907996,0.25401975152961126,0.3,0.14,1.0999999999999999,12.0,0.08000000000000003
0.334967270750012,0.07541054372548481,0.25955672702452715,0.28,0.14,1.0999999999999999,11.5,0.08000000000000003
0.33511224155341657,0.08262903699104365,0.2524832045623729,0.38,0.14,1.0,12.0,0.06000000000000001
0.3351256947281292,0.08176001019315553,0.25336568453497366,0.28,0.14,1.0999999999999999,12.0,0.08000000000000003
0.33513824976815565,0.08750571126837446,0.24763253849978117,0.33999999999999997,0.14,1.0,12.5,0.06000000000000001
0.3353153123653714,0.09539213738646217,0.23992317497890922,0.18,0.14,1.0,12.0,0.08000000000000003
0.33533929388242634,0.0747666190025168,0.26057267487990954,0.36,0.14,1.0,11.5,0.06000000000000001
0.3354747057438999,0.0932038282910329,0.24227087745286702,0.24,0.14,1.0,12.5,0.08000000000000003
0.33554160146083734,0.07622303829002283,0.25931856317081453,0.26,0.14,1.0,11.5,0.10000000000000005
0.3355517055003414,0.08815625917408969,0.24739544632625174,0.22,0.14,1.0,12.0,0.06000000000000001
0.3357106827453678,0.08085960673642555,0.25485107600894225,0.32,0.14,1.0999999999999999,12.0,0.08000000000000003
0.3358424165231722,0.08750571126837446,0.24833670525479776,0.33999999999999997,0.14,1.0,12.5,0.08000000000000003
0.3362004192244643,0.08331677455799219,0.2528836446664721,0.26,0.14,1.0999999999999999,12.0,0.08000000000000003
0.33623590785468643,0.0747666190025168,0.26146928885216963,0.36,0.14,1.0,11.5,0.10000000000000005
0.33635402712536616,0.07571223323798677,0.2606417938873794,0.33999999999999997,0.14,1.0999999999999999,11.5,0.08000000000000003
0.33646218431580155,0.0932038282910329,0.24325835602476864,0.24,0.14,1.0,12.5,0.06000000000000001
0.3364714623805771,0.07695075649217382,0.2595207058884033,0.26,0.14,1.0999999999999999,11.5,0.08000000000000003
0.3369598635486289,0.08360010425082937,0.2533597592977995,0.42,0.14,1.0,11.5,0.08000000000000003
0.3370572004985425,0.07306042106236928,0.2639967794361732,0.38,0.14,1.0,11.0,0.08000000000000003
0.33710791445165506,0.07873088079940672,0.25837703365224834,0.24,0.14,1.0,11.5,0.06000000000000001
0.33730942364481886,0.0883623337353924,0.2489470899094265,0.36,0.14,1.0,12.5,0.06000000000000001
0.3373886594520188,0.07406469298071212,0.2633239664713067,0.24,0.14,1.0,11.0,0.08000000000000003
0.3374644618038466,0.08159974975102202,0.25586471205282457,0.33999999999999997,0.14,1.0999999999999999,12.0,0.08000000000000003
0.3375642743818006,0.06837545256438592,0.26918882181741466,0.32,0.14,1.0,11.0,0.10000000000000005
0.33759837079858446,0.09602943113127829,0.2415689396673062,0.22,0.14,1.0,12.5,0.08000000000000003
0.3378563539497443,0.06859052255655856,0.2692658313931857,0.3,0.14,1.0,11.0,0.10000000000000005
0.33809622534979605,0.08552797681495637,0.25256824853483967,0.24,0.14,1.0999999999999999,12.0,0.08000000000000003
0.3381160017029645,0.08935842198413622,0.24875757971882828,0.18,0.14,1.0,11.5,0.08000000000000003
0.33816208746299276,0.07873088079940672,0.25943120666358604,0.24,0.14,1.0,11.5,0.10000000000000005
0.33833692485231204,0.06905074734839095,0.2692861775039211,0.33999999999999997,0.14,1.0,11.0,0.10000000000000005
0.338347191807868,0.07694017858815408,0.26140701321971394,0.38,0.14,1.0,11.5,0.06000000000000001
0.33839392019935755,0.0885818625193647,0.24981205767999287,0.42,0.14,1.0,12.0,0.08000000000000003
0.33844715623022736,0.0883623337353924,0.250084822494835,0.36,0.14,1.0,12.5,0.08000000000000003
0.33882938821990227,0.09602943113127829,0.242799957088624,0.22,0.14,1.0,12.5,0.06000000000000001
0.3388414556825806,0.0792036285301537,0.25963782715242695,0.24,0.14,1.0999999999999999,11.5,0.08000000000000003
0.3388976931227452,0.07754962627709974,0.26134806684564543,0.36,0.14,1.0999999999999999,11.5,0.08000000000000003
0.3389317210304056,0.09157805030619334,0.24735367072421222,0.19999999999999998,0.14,1.0,12.0,0.06000000000000001
0.3390187011052034,0.08525065238393668,0.2537680487212667,0.4,0.14,1.0,12.0,0.06000000000000001
0.33916888025094794,0.06965777420325472,0.2695111060476932,0.28,0.14,1.0,11.0,0.10000000000000005
0.33942089462505176,0.07694017858815408,0.26248071603689765,0.38,0.14,1.0,11.5,0.10000000000000005
0.3401853178384661,0.0706214481251483,0.2695638697133178,0.36,0.14,1.0,11.0,0.10000000000000005
0.3401959276611582,0.07460767758747394,0.26558825007368425,0.3,0.12,1.0999999999999999,11.5,0.08000000000000003
