objective,Br_L2,Bt_L2,lambda_drop,lambda_b_gain,width_scale,edge_width_deg,edge_bt_gain
0.4150628204612255,0.05521287141251847,0.35984994904870704,0.28,0.12,1.0999999999999999,13.0,0.06000000000000001
0.4153760764355595,0.057544276470565627,0.35783179996499387,0.38,0.12,1.0,12.5,0.06000000000000001
0.4153945226518485,0.06156370663500212,0.3538308160168464,0.19999999999999998,0.14,1.0,12.5,0.06000000000000001
0.41559073056521695,0.05474351869888803,0.3608472118663289,0.3,0.12,1.0999999999999999,13.0,0.06000000000000001
0.415598512901937,0.045323911133060106,0.3702746017688769,0.28,0.12,1.0,12.0,0.04000000000000002
0.4158486733155742,0.04499096307151806,0.3708577102440561,0.3,0.12,1.0,12.0,0.04000000000000002
0.4158880245776958,0.0568908852017599,0.3589971393759359,0.26,0.12,1.0999999999999999,13.0,0.06000000000000001
0.41610926663851716,0.05454274848542883,0.3615665181530883,0.33999999999999997,0.12,1.0,13.0,0.04000000000000002
0.4162158360310338,0.04991789236679759,0.3662979436642362,0.26,0.14,0.8999999999999999,12.5,0.06000000000000001
0.41624876340716227,0.04711955921147504,0.36912920419568723,0.28,0.12,1.0,11.5,0.06000000000000001
0.41647773703883206,0.06306164169327957,0.3534160953455525,0.22,0.14,1.0,13.0,0.06000000000000001
0.4164903506589255,0.05853513099048348,0.357955219668442,0.19999999999999998,0.12,1.0,12.0,0.06000000000000001
0.41652067250962155,0.05255420862552869,0.3639664638840929,0.36,0.14,1.0,12.0,0.06000000000000001
0.41652163078338544,0.059143100991741394,0.35737852979164403,0.24,0.12,1.0,13.0,0.04000000000000002
0.4165534025531904,0.0471585294281258,0.3693948731250646,0.3,0.12,1.0,11.5,0.06000000000000001
0.41664342614740935,0.04700130814777778,0.3696421179996316,0.3,0.14,1.0,12.5,0.04000000000000002
0.41665196846209246,0.04771884801725825,0.36893312044483423,0.28,0.14,1.0,12.5,0.04000000000000002
0.41666982693823096,0.04733455652729022,0.3693352704109407,0.33999999999999997,0.14,0.8999999999999999,12.5,0.06000000000000001
0.41684227969261617,0.047051356398775016,0.36979092329384117,0.26,0.12,1.0,12.0,0.04000000000000002
0.4170507441952553,0.043548813395257714,0.37350193079999755,0.3,0.14,0.8999999999999999,12.0,0.06000000000000001
0.41717460491498626,0.05466127841343256,0.3625133265015537,0.22,0.12,1.0999999999999999,12.0,0.06000000000000001
0.417431352305859,0.04844702697787285,0.36898432532798614,0.26,0.12,1.0,11.5,0.06000000000000001
0.4175546850462635,0.05556150790731178,0.3619931771389517,0.32,0.12,1.0999999999999999,13.0,0.06000000000000001
0.41757288948140764,0.06759136678994192,0.3499815226914657,0.19999999999999998,0.12,1.0,13.0,0.06000000000000001
0.4176040452529518,0.044588754661685256,0.37301529059126654,0.28,0.14,0.8999999999999999,12.0,0.06000000000000001
0.41767523398942835,0.046132068141430005,0.37154316584799835,0.32,0.12,1.0,12.0,0.04000000000000002
0.4177273376288829,0.05723873941504764,0.3604885982138353,0.36,0.14,1.0,13.0,0.06000000000000001
0.4179171789466759,0.059632661192344005,0.3582845177543319,0.24,0.12,1.0999999999999999,13.0,0.06000000000000001
0.4179411610589077,0.053149858073405165,0.36479130298550255,0.33999999999999997,0.12,1.0999999999999999,12.0,0.06000000000000001
0.4179722363820825,0.06674907745677422,0.35122315892530825,0.18,0.12,1.0,12.5,0.06000000000000001
0.41801019079155927,0.043904024611060515,0.37410616618049874,0.32,0.14,0.8999999999999999,12.0,0.06000000000000001
0.4180597144427001,0.04973388289740059,0.3683258315452995,0.26,0.14,1.0,12.5,0.04000000000000002
0.41813589429140724,0.05756802637499261,0.36056786791641465,0.38,0.14,1.0,12.5,0.06000000000000001
0.4181430047242646,0.0476873131069489,0.3704556916173157,0.32,0.14,1.0,12.5,0.04000000000000002
0.4182277500404834,0.05684722105408838,0.361380528986395,0.22,0.12,1.0,12.5,0.04000000000000002
0.4183930082565605,0.04860775667695384,0.3697852515796067,0.32,0.12,1.0,11.5,0.06000000000000001
0.4185512127946159,0.061764799826381556,0.3567864129682343,0.19999999999999998,0.12,1.0999999999999999,12.5,0.06000000000000001
0.4187133523570811,0.05250638047075308,0.36620697188632806,0.3,0.14,0.8999999999999999,13.0,0.06000000000000001
0.41883318545575987,0.05286049600657333,0.36597268944918654,0.3,0.14,1.0,13.0,0.04000000000000002
0.4189321427898707,0.04537446738750208,0.3735576754023686,0.28,0.14,1.0,12.0,0.08000000000000003
0.4189835756407159,0.04504210715071589,0.37394146849000004,0.3,0.14,1.0,12.0,0.08000000000000003
0.4190141999799869,0.05388208750863546,0.36513211247135147,0.28,0.14,1.0,13.0,0.04000000000000002
0.41903394432788277,0.058573645422555616,0.36046029890532716,0.19999999999999998,0.14,1.0,12.0,0.06000000000000001
0.4191141434664455,0.04719375409123729,0.3719203893752082,0.28,0.14,1.0,11.5,0.06000000000000001
0.41922106273739007,0.053384821213779535,0.36583624152361055,0.24,0.14,0.8999999999999999,12.5,0.06000000000000001
0.41930916221337394,0.05403005392844025,0.3652791082849337,0.28,0.14,0.8999999999999999,13.0,0.06000000000000001
0.41936921462133614,0.05210955874913246,0.36725965587220366,0.32,0.14,0.8999999999999999,13.0,0.06000000000000001
0.41938889460794,0.04998512021440299,0.369403774393537,0.24,0.12,1.0,12.0,0.04000000000000002
0.41942798039429363,0.053093565650674863,0.3663344147436188,0.36,0.12,1.0,12.5,0.04000000000000002
0.41944290390528516,0.047232747635308665,0.3722101562699765,0.3,0.14,1.0,11.5,0.06000000000000001
0.4195345970392602,0.046891410780704405,0.3726431862585558,0.26,0.14,0.8999999999999999,12.0,0.06000000000000001
0.4195698118735106,0.057599807603357284,0.36197000427015336,0.36,0.12,1.0999999999999999,12.5,0.06000000000000001
0.41961928831248946,0.06284018693872902,0.35677910137376045,0.28,0.12,1.0,13.5,0.06000000000000001
0.4196445322699001,0.06161904152440284,0.3580254907454973,0.3,0.12,1.0,13.5,0.06000000000000001
0.41966623408379905,0.05737886591531899,0.36228736816848006,0.38,0.12,1.0,12.0,0.06000000000000001
0.41968918285820384,0.04605129889988049,0.37363788395832337,0.3,0.12,0.8999999999999999,12.5,0.06000000000000001
0.4197843323012158,0.045323911133060106,0.3744604211681557,0.28,0.12,1.0,12.0,0.08000000000000003
0.41979931774870083,0.04499096307151806,0.37480835467718276,0.3,0.12,1.0,12.0,0.08000000000000003
0.4199084479759567,0.06305477799661037,0.35685366997934637,0.22,0.12,1.0,13.0,0.04000000000000002
0.41991621096750836,0.061004425133852146,0.35891178583365624,0.38,0.12,1.0,13.0,0.06000000000000001
0.41992864620410847,0.06161904152440284,0.35830960467970563,0.3,0.12,1.0,13.5,0.04000000000000002
0.4199473978224974,0.050991067066604945,0.36895633075589246,0.24,0.12,1.0,11.5,0.06000000000000001
0.4199656987228146,0.057228851113639866,0.36273684760917474,0.36,0.12,1.0,13.0,0.04000000000000002
0.41999529999521307,0.05307471984134659,0.36692058015386647,0.32,0.14,1.0,13.0,0.04000000000000002
0.42017953603598057,0.06284018693872902,0.35733934909725157,0.28,0.12,1.0,13.5,0.04000000000000002
0.420269885619454,0.048519110590569875,0.37175077502888415,0.26,0.14,1.0,11.5,0.06000000000000001
0.42032615918148447,0.04991925711079467,0.3704069020706898,0.36,0.14,0.8999999999999999,12.5,0.06000000000000001
0.4203741762928831,0.047395530812136426,0.37297864548074666,0.28,0.12,0.8999999999999999,12.5,0.06000000000000001
0.42042487283286,0.047099856059507145,0.37332501677335284,0.26,0.14,1.0,12.0,0.08000000000000003
0.4204267623496773,0.04600971968287442,0.37441704266680287,0.32,0.12,0.8999999999999999,12.5,0.06000000000000001
0.4204280084519829,0.05603197901502592,0.364396029436957,0.26,0.14,1.0,13.0,0.04000000000000002
0.42048919372948157,0.06676738372652839,0.35372181000295316,0.18,0.14,1.0,12.5,0.06000000000000001
0.42049501956659474,0.045663983315901054,0.3748310362506937,0.33999999999999997,0.14,0.8999999999999999,12.0,0.06000000000000001
0.42053409436090883,0.06759750110539514,0.3529365932555137,0.19999999999999998,0.14,1.0,13.0,0.06000000000000001
0.4206633110079821,0.046182159771962605,0.3744811512360195,0.32,0.14,1.0,12.0,0.08000000000000003
0.4206744726622086,0.052857077694475424,0.3678173949677332,0.24,0.14,1.0,12.5,0.04000000000000002
0.42068630302232957,0.06501502304789052,0.35567127997443904,0.26,0.12,1.0,13.5,0.06000000000000001
0.42083553566575943,0.06144475069614981,0.35939078496960963,0.32,0.12,1.0,13.5,0.04000000000000002
0.420858467450851,0.06144475069614981,0.3594137167547012,0.32,0.12,1.0,13.5,0.06000000000000001
0.4209521773303396,0.05766010724698219,0.36329207008335745,0.33999999999999997,0.12,1.0999999999999999,13.0,0.06000000000000001
0.42096888666668725,0.06326107492596302,0.35770781174072425,0.22,0.12,1.0999999999999999,13.0,0.06000000000000001
0.42102586664321207,0.048691967881241055,0.37233389876197104,0.33999999999999997,0.12,1.0,12.0,0.04000000000000002
0.4210303368286578,0.056557055619051465,0.36447328120960637,0.26,0.14,0.8999999999999999,13.0,0.06000000000000001
0.4211425190635568,0.04976580289910077,0.37137671616445606,0.33999999999999997,0.14,1.0,12.5,0.04000000000000002
0.421212645869992,0.04771884801725825,0.3734937978527338,0.28,0.14,1.0,12.5,0.08000000000000003
0.42126889040062554,0.04700130814777778,0.37426758225284773,0.3,0.14,1.0,12.5,0.08000000000000003
0.4213037969233324,0.048679848392363646,0.37262394853096875,0.32,0.14,1.0,11.5,0.06000000000000001
0.4213142710173023,0.047051356398775016,0.3742629146185273,0.26,0.12,1.0,12.0,0.08000000000000003
0.4213408137593625,0.05290091228003729,0.3684399014793252,0.33999999999999997,0.14,0.8999999999999999,13.0,0.06000000000000001
0.42144356634522856,0.046132068141430005,0.37531149820379855,0.32,0.12,1.0,12.0,0.08000000000000003
0.421469419487506,0.04961253701264202,0.371856882474864,0.28,0.12,1.0999999999999999,12.5,0.04000000000000002
0.4214922584091668,0.06501502304789052,0.3564772353612763,0.26,0.12,1.0,13.5,0.04000000000000002
0.42156174330033624,0.05898002857931295,0.3625817147210233,0.19999999999999998,0.12,1.0999999999999999,12.0,0.06000000000000001
0.4215999254579889,0.04537446738750208,0.37622545807048685,0.28,0.14,1.0,12.0,0.04000000000000002
0.42169835548332557,0.05139409032786075,0.37030426515546483,0.33999999999999997,0.12,1.0,11.5,0.06000000000000001
0.421817181362514,0.06372957908179573,0.3580876022807183,0.18,0.12,1.0,12.0,0.06000000000000001
0.4218590219978297,0.04504210715071589,0.3768169148471138,0.3,0.14,1.0,12.0,0.04000000000000002
0.42211075294297773,0.0495478744040528,0.37256287853892495,0.3,0.12,1.0999999999999999,12.5,0.04000000000000002
0.4221142490516401,0.04769175566125719,0.37442249339038286,0.28,0.12,1.0,12.5,0.08000000000000003
0.4221315585540321,0.04697349204347662,0.3751580665105555,0.3,0.12,1.0,12.5,0.08000000000000003
0.4221684762180866,0.06289995502467646,0.35926852119341013,0.4,0.12,1.0,12.5,0.06000000000000001
0.4222601266275145,0.0726089478399916,0.3496511787875229,0.18,0.12,1.0,13.0,0.06000000000000001
0.4223046122571213,0.05104584041879443,0.37125877183832684,0.26,0.12,1.0999999999999999,12.5,0.04000000000000002
0.42233655304045153,0.04990017393831962,0.3724363791021319,0.26,0.12,0.8999999999999999,12.5,0.06000000000000001
0.4223526157895963,0.04607110371279288,0.37628151207680344,0.3,0.14,0.8999999999999999,12.5,0.04000000000000002
0.4224258726336781,0.05741966858106803,0.3650062040526101,0.38,0.14,1.0,12.0,0.06000000000000001
0.4225014316633107,0.04774482055727345,0.37475661110603725,0.28,0.12,1.0999999999999999,12.0,0.08000000000000003
0.4225313679125911,0.05455276284662578,0.3679786050659653,0.33999999999999997,0.14,1.0,13.0,0.04000000000000002
0.4225838474776073,0.049647446021649534,0.37293640145595774,0.28,0.14,1.0999999999999999,12.5,0.06000000000000001
0.4226109170937189,0.04973388289740059,0.3728770341963183,0.26,0.14,1.0,12.5,0.08000000000000003
0.4226177978938472,0.06154362903472709,0.3610741688591201,0.19999999999999998,0.12,1.0,12.5,0.04000000000000002
0.422630147755349,0.05024760328708291,0.37238254446826613,0.24,0.14,0.8999999999999999,12.0,0.06000000000000001
0.42263372056182175,0.04731467813064288,0.37531904243117886,0.33999999999999997,0.12,0.8999999999999999,12.5,0.06000000000000001
0.4227192735977173,0.06802056288843811,0.3546987107092792,0.24,0.12,1.0,13.5,0.06000000000000001
0.4227569372558765,0.05105948280287084,0.3716974544530056,0.24,0.14,1.0,11.5,0.06000000000000001
0.4228318892789207,0.047099856059507145,0.3757320332194135,0.26,0.14,1.0,12.0,0.04000000000000002
0.42289010148241735,0.0476873131069489,0.37520278837546844,0.32,0.14,1.0,12.5,0.08000000000000003
0.42290900692520383,0.04350892838766168,0.37940007853754215,0.3,0.12,0.8999999999999999,12.0,0.06000000000000001
