case,field_csv,current_angle_deg,current_rms_a,torque_sector_Nm,torque_total_Nm
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,200.0,17.6,2.0544138147142617,12.32648288828557
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,202.5,17.6,1.9942899944286903,11.96573996657214
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,205.0,17.6,1.9303699297906909,11.582219578744144
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,207.5,17.6,1.8627752962762807,11.176651777657684
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,210.0,17.6,1.7916347641121801,10.749808584673081
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,212.5,17.6,1.7170837533447318,10.30250252006839
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,215.0,17.6,1.6392641760601288,9.835585056360772
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,217.5,17.6,1.5583241662467127,9.349944997480275
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,220.0,17.6,1.474417797813488,8.846506786880928
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,222.5,17.6,1.3877047913016982,8.32622874781019
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,225.0,17.6,1.2983502098476787,7.790101259086072
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,227.5,17.6,1.206524144975815,7.23914486985489
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,230.0,17.6,1.1124013928196377,6.6744083569178265
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,232.5,17.6,1.016161121387469,6.096966728324814
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,235.0,17.6,0.917986529505914,5.507919177035484
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,237.5,17.6,0.8180644980905035,4.908386988543021
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,240.0,17.6,0.7165852344072283,4.29951140644337
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,242.5,17.6,0.6137419100022196,3.6824514600133176
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,245.0,17.6,0.5097302929887085,3.058381757932251
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,247.5,17.6,0.40474837539131825,2.4284902523479097
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,250.0,17.6,0.29899599625697953,1.7939759775418773
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,252.5,17.6,0.1926744612499413,1.1560467674996477
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,255.0,17.6,0.08598615945501598,0.5159169567300959
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,257.5,17.6,-0.0208658218815682,-0.1251949312894092
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,260.0,17.6,-0.12767808394026264,-0.7660685036415759
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,262.5,17.6,-0.23424730350943146,-1.4054838210565888
FEMM base no-load Br,results/paper_vshape_1over6/br_bt_arc.csv,265.0,17.6,-0.34037062002262086,-2.042223720135725
