Br_relative_l2,Bt_relative_l2,Br_rms,Bt_rms,slotted_FEMM_Br_rms,slotted_FEMM_Bt_rms,lambda_drop,lambda_b_gain,width_scale,notch_kind,normalize_mean,slot_opening_deg,slot_centers_deg,model_csv
0.1284874220340158,0.4171287177810511,0.4836528090377009,0.038826376835499575,0.5106783515674461,0.04904435641138518,0.12,0.14000000000000004,0.8,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.11874845894049005,0.4274112177714918,0.4840626849738939,0.03592058326072046,0.5106783515674461,0.04904435641138518,0.16,0.10000000000000003,1.2,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.10841994508448739,0.43806642320243133,0.48483315313759884,0.04612870904974049,0.5106783515674461,0.04904435641138518,0.24000000000000002,0.18000000000000005,0.8,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.12687940318518873,0.42245756087865055,0.48370548018604215,0.044537213931575344,0.5106783515674461,0.04904435641138518,0.12,0.14000000000000004,1.2,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.11409207931947994,0.4380664418302588,0.48433730703107336,0.04611177794575319,0.5106783515674461,0.04904435641138518,0.2,0.18000000000000005,0.8,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.13570276844376641,0.4173130539589239,0.48346636348603317,0.03414516927910068,0.5106783515674461,0.04904435641138518,0.08,0.10000000000000003,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.12703865247383916,0.42622635104578815,0.4836886117514631,0.05016493513793792,0.5106783515674461,0.04904435641138518,0.12,0.18000000000000005,1.0,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1368181280521276,0.41742911294869356,0.4834545467902312,0.038815061009251126,0.5106783515674461,0.04904435641138518,0.08,0.14000000000000004,0.8,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.12675599611175664,0.4276603525445139,0.4837063864916253,0.035900918520137444,0.5106783515674461,0.04904435641138518,0.12,0.10000000000000003,1.2,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.1357297011985782,0.42283131350732533,0.48346872820912007,0.04452469941733462,0.5106783515674461,0.04904435641138518,0.08,0.14000000000000004,1.2,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
0.12088319299234271,0.4381684989549248,0.48394555348891904,0.046097470962041115,0.5106783515674461,0.04904435641138518,0.16,0.18000000000000005,0.8,gaussian,True,2.8647889756541165,5;15;25;35;45;55,results/paper5_structure2_alpha52_offset30_h7/structure2_br_bt.csv
