edge_width_deg,window_power,edge_bt_gain,edge_params,bt_mode,model_Br_rms,model_Bt_rms,Br_L2_left,Bt_L2_left,Br_L2_middle,Bt_L2_middle,Br_L2_right,Bt_L2_right,Br_L2_edge,Bt_L2_edge,Br_L2_all,Bt_L2_all,objective
12.0,1.6,0.1,closed-form,drive,0.5174009996736073,0.05474920379712744,0.12310366983716231,0.6096974440678584,0.04323153267804982,0.39733689548664636,0.12506753263444248,0.6080521579800702,0.12409147311889991,0.6088725393743682,0.06288816153327771,0.5050832137219242,0.28309930192756616
10.0,1.2,0.0,closed-form,drive,0.5282423382542187,0.038477168421514926,0.11998345018465388,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.12198169587109524,0.6218955087648171,0.12098872008061973,0.6225362684376134,0.06194902371576916,0.51263978750517,0.2837190013707956
10.0,1.0,0.05,closed-form,drive,0.5292057087954983,0.04354853721341865,0.1363972077013685,0.5727867774803354,0.043231525587896884,0.3973468923742244,0.13779441835608439,0.574466594604842,0.13709900650985657,0.5736301774396346,0.06692326695902583,0.48587654965911314,0.2849647116181652
12.0,1.6,0.0,closed-form,drive,0.5174009996736073,0.038477168421514926,0.12310366983716231,0.6231807664812077,0.04323153267804982,0.3973468923742244,0.12506753263444248,0.6218955087648171,0.12409147311889991,0.6225362684376134,0.06288816153327771,0.51263978750517,0.2857441027517022
15.0,0.8,0.05,closed-form,drive,0.5106529890774276,0.049364793352787865,0.16549322547078377,0.468442707601343,0.05017788613416867,0.38762015962810764,0.16733148979421544,0.46583950552435466,0.16641675563511615,0.46713846218336935,0.0799966144849925,0.42579167198680384,0.28726956415266447
13.0,1.4,0.05,closed-form,drive,0.513342572547908,0.04678163715921147,0.16894083532555665,0.47292016786864816,0.044007681172432166,0.39577691596429276,0.1704441548859197,0.4713449000930723,0.1696956807411223,0.47213049348273556,0.07796042280264177,0.4323325482312563,0.28867030294297424
10.0,1.2,0.1,closed-form,drive,0.5282423382542187,0.049814351793897226,0.11998345018465388,0.6497377931185789,0.043231525587896884,0.3973468923742244,0.12198169587109524,0.6531157728046203,0.12098872008061973,0.6514347569103904,0.06194902371576916,0.5287887441303942,0.289371136189624
13.0,1.2,0.0,closed-form,drive,0.5152752261631554,0.038477168421514926,0.13242496395140532,0.6231807664812077,0.04388814462195954,0.3973468923742244,0.13435558675520554,0.6218955087648171,0.13339572131349828,0.6225362684376134,0.06612615068851589,0.51263978750517,0.2922385787750498
14.0,0.8,0.1,closed-form,drive,0.515596148786347,0.05995696262783187,0.11372640594536924,0.678461267939072,0.04581014072207516,0.4033747391789623,0.1159827106534321,0.6745908824466842,0.1148623813473073,0.6765222153550752,0.06171804664598415,0.5453971729525504,0.2928088906509343
11.0,1.4,0.15,closed-form,drive,0.5234399296943347,0.060822308106501605,0.06535490379467457,0.8332979866172584,0.043231525587896884,0.3973468923742244,0.06940854906596075,0.8334824399430282,0.06741630175724844,0.8333905342398076,0.04776544683875632,0.6348512374792048,0.2935590855715149
11.0,1.2,0.15,closed-form,drive,0.5246013876220967,0.060822308106501605,0.06684649606901016,0.8332979866172584,0.043231525587896884,0.3973468923742244,0.07047418911225094,0.8334824399430282,0.06868796598131764,0.8333905342398076,0.04804396401270677,0.6348512374792048,0.29428268522388956
10.0,1.0,0.0,closed-form,drive,0.5292057087954983,0.038477168421514926,0.1363972077013685,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.13779441835608439,0.6218955087648171,0.13709900650985657,0.6225362684376134,0.06692326695902583,0.51263978750517,0.2943318448642851
11.0,1.4,-0.05,closed-form,drive,0.5234399296943347,0.034677505308950154,0.06535490379467457,0.8413890878222938,0.043231525587896884,0.3973468923742244,0.06940854906596075,0.8383445533993266,0.06741630175724844,0.839862986724482,0.04776544683875632,0.6387357922771055,0.2949186797507802
13.0,1.2,0.1,closed-form,drive,0.5152752261631554,0.057278519497110776,0.13242496395140532,0.6374113484558587,0.04388814462195954,0.39799627407964994,0.13435558675520554,0.6344663240686598,0.13339572131349828,0.6359354980099252,0.06612615068851589,0.5203682778093529,0.29494355038151376
11.0,1.2,-0.05,closed-form,drive,0.5246013876220967,0.034677505308950154,0.06684649606901016,0.8413890878222938,0.043231525587896884,0.3973468923742244,0.07047418911225094,0.8383445533993266,0.06868796598131764,0.839862986724482,0.04804396401270677,0.6387357922771055,0.29564227940315485
12.0,1.0,0.15,closed-form,drive,0.5220211928392419,0.06488700315915552,0.054782792772027834,0.8822380444436403,0.04323153001923717,0.39733194489828805,0.05860265720510746,0.8793784242167565,0.056728750146027664,0.8808044980286491,0.045573861813589335,0.6634440449203195,0.29763434008681083
11.0,1.6,0.15,closed-form,drive,0.5224101518895472,0.060822308106501605,0.07432396567100191,0.8332979866172584,0.043231525587896884,0.3973468923742244,0.07809615264391805,0.8334824399430282,0.07623720975231175,0.8333905342398076,0.04976848742245847,0.6348512374792048,0.29864944395348925
10.0,0.8,0.05,closed-form,drive,0.5303248848687021,0.04354853721341865,0.158693657231506,0.5727867774803354,0.043231525587896884,0.3973468923742244,0.15948132579463517,0.574466594604842,0.15908877587854667,0.5736301774396346,0.0740465098786533,0.48587654965911314,0.2997843738168342
10.0,1.0,0.1,closed-form,drive,0.5292057087954983,0.049814351793897226,0.1363972077013685,0.6497377931185789,0.043231525587896884,0.3973468923742244,0.13779441835608439,0.6531157728046203,0.13709900650985657,0.6514347569103904,0.06692326695902583,0.5287887441303942,0.2999839796831136
11.0,1.6,-0.05,closed-form,drive,0.5224101518895472,0.034677505308950154,0.07432396567100191,0.8413890878222938,0.043231525587896884,0.3973468923742244,0.07809615264391805,0.8383445533993266,0.07623720975231175,0.839862986724482,0.04976848742245847,0.6387357922771055,0.30000903813275454
12.0,1.0,-0.05,closed-form,drive,0.5220211928392419,0.03429806883211828,0.054782792772027834,0.9008832087913454,0.04323153001923717,0.397351938671036,0.05860265720510746,0.8985319176151768,0.056728750146027664,0.8997043049689013,0.045573861813589335,0.6749362922821627,0.30165662666345594
11.0,1.0,0.15,closed-form,drive,0.5259279565783433,0.060822308106501605,0.08193174962748967,0.8332979866172584,0.043231525587896884,0.3973468923742244,0.08447747791524848,0.8334824399430282,0.08321692451685518,0.8333905342398076,0.05146349509942079,0.6348512374792048,0.3027873517980418
10.0,1.6,-0.05,closed-form,drive,0.5266475740708034,0.035121529487957985,0.10210173310776446,0.7765100936716766,0.043231525587896884,0.3973468923742244,0.10509421117656768,0.7725196950247143,0.10361180361418897,0.7745106310847543,0.05688545186666804,0.5998234128417321,0.3030877776262404
11.0,1.0,-0.05,closed-form,drive,0.5259279565783433,0.034677505308950154,0.08193174962748967,0.8413890878222938,0.043231525587896884,0.3973468923742244,0.08447747791524848,0.8383445533993266,0.08321692451685518,0.839862986724482,0.05146349509942079,0.6387357922771055,0.304146945977307
12.0,0.8,0.15,closed-form,drive,0.5240542975724551,0.06488700315915552,0.06877388287165509,0.8822380444436403,0.0432315291329677,0.39733194489828805,0.07126607016837166,0.8793784242167565,0.07003358445159404,0.8808044980286491,0.04834255002949712,0.6634440449203195,0.3050597203096669
12.0,1.2,0.15,closed-form,drive,0.5202739284084175,0.06488700315915552,0.0698589106834622,0.8822380444436403,0.04323153090550735,0.39733194489828805,0.07319157186974483,0.8793784242167565,0.07154801964387862,0.8808044980286491,0.04868326239014478,0.6634440449203195,0.3059304849876141
9.0,1.6,0.05,closed-form,drive,0.5300917609938579,0.04258985700073863,0.1583881303103085,0.6109629836773344,0.043231525587896884,0.3973468923742244,0.16002363496421654,0.6111081462449909,0.15920963740658656,0.6110358178472531,0.07408654918229421,0.5062794687509077,0.3070077363374172
10.0,1.4,-0.05,closed-form,drive,0.5273979278290949,0.035121529487957985,0.10873935948234115,0.7765100936716766,0.043231525587896884,0.3973468923742244,0.1112869601771388,0.7725196950247143,0.11002311121643078,0.7745106310847543,0.058712229458092666,0.5998234128417321,0.30715851287844964
12.0,0.8,-0.05,closed-form,drive,0.5240542975724551,0.03429806883211828,0.06877388287165509,0.9008832087913454,0.0432315291329677,0.397351938671036,0.07126607016837166,0.8985319176151768,0.07003358445159404,0.8997043049689013,0.04834255002949712,0.6749362922821627,0.309082006886312
10.0,0.8,0.0,closed-form,drive,0.5303248848687021,0.038477168421514926,0.158693657231506,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.15948132579463517,0.6218955087648171,0.15908877587854667,0.6225362684376134,0.0740465098786533,0.51263978750517,0.30915150706295413
9.0,1.6,0.0,closed-form,drive,0.5300917609938579,0.038477168421514926,0.1583881303103085,0.6231807664812077,0.043231525587896884,0.3973468923742244,0.16002363496421654,0.6218955087648171,0.15920963740658656,0.6225362684376134,0.07408654918229421,0.51263978750517,0.309233847901409
12.0,1.2,-0.05,closed-form,drive,0.5202739284084175,0.03429806883211828,0.0698589106834622,0.9008832087913454,0.04323153090550735,0.397351938671036,0.07319157186974483,0.8985319176151768,0.07154801964387862,0.8997043049689013,0.04868326239014478,0.6749362922821627,0.3099527715642592
14.0,1.0,0.0,closed-form,drive,0.51238127890382,0.038477168421514926,0.1582750189157158,0.6231807664812077,0.04657223003821682,0.3973468923742244,0.160076002763877,0.6218955087648171,0.15917987998239044,0.6225362684376134,0.07577011237573855,0.51263978750517,0.31090699599638466
9.0,1.4,0.05,closed-form,drive,0.5306057646524405,0.04258985700073863,0.16573775906899443,0.6109629836773344,0.043231525587896884,0.3973468923742244,0.167083223255908,0.6111081462449909,0.166413212144644,0.6110358178472531,0.07648829187622336,0.5062794687509077,0.31193073018966644
13.0,1.6,0.05,closed-form,drive,0.5116408784915562,0.04678163715921147,0.20322295628066084,0.47292016786864816,0.04412997800064665,0.39577691596429276,0.2044144963847582,0.4713449000930723,0.20382080253526683,0.47213049348273556,0.08973357099224837,0.4323325482312563,0.3123872437605314
14.0,1.2,0.05,closed-form,drive,0.5096365899713525,0.04796666813013194,0.20429684356601346,0.467500571553971,0.04737425984084997,0.3891925833209017,0.20572038611252305,0.465341710213746,0.2050112906253752,0.46641869311216694,0.09153277371674737,0.4262101409406546,0.31246027476485777
